Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Regency Retirement Village - Birmingham,"285 West Oxmoor Road, Birmingham, AL 35209",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/regency-retirement-village-35209,48,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/birmingham/regency-retirement-village/49/
Kauhale Port City,"4720 Morrison Dr, Mobile, AL 36609","$3,350",Assisted Living,https://www.caring.com/senior-living/alabama/mobile/kauhale-port-city,83,(800) 558-0653,Not found
Morningside of Vestavia Hills,"2435 Columbiana Road, Birmingham, AL 35216","$1,600",Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/morningside-of-vestavia-hills-birmingham,77,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/birmingham/morningside-of-vestavia-hills/53787/
Fair Haven Retirement Center,"1424 Montclair Road, Birmingham, AL 35210",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/fair-haven-retirement-center,259,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/birmingham/fair-haven/15076/
Gardens of Eufaula,"395 Lake Drive, Eufaula, AL 36027","$2,640",Assisted Living,https://www.caring.com/senior-living/alabama/eufaula/gardens-of-eufaula,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/eufaula/gardens-of-eufaula/7/
Morning Pointe of Tuscaloosa,"1801 Rice Mine Road N, Tuscaloosa, AL 35406",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/morning-pointe-of-tuscaloosa-35406,60,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/tuscaloosa/morning-pointe-of-tuscaloosa-specialty-care-assisted-living-facility/158/
The Neighborhood at Cullman,"2021 Dahlke Dr. Ne, Cullman, AL 35058","$3,310",Assisted Living,https://www.caring.com/senior-living/alabama/cullman/the-neighborhood-at-cullman,45,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/cullman/the-neighborhood-at-cullman/53837/
St. Martin's in the Pines,"4941 Montevallo Rd, Birmingham, AL 35210","$1,200",Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/st-martin-s-in-the-pines-birmingham,128,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/birmingham/st-martin-s-in-the-pines/15433/
Anchorage Pioneer Home,"923 West 11th Avenue, Anchorage, AK 99501",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/anchorage-pioneer-home,168,(800) 558-0653,Not found
Baldwin House Assisted Living,"10171 Papa George St, Daphne, AL 36526",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/daphne/baldwin-house-assisted-living,44,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/daphne/baldwin-house/53801/
The Season's of Talladega Assisted Living,"130 Seasons Way, Talladega, AL 35160",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/talladega/the-season-s-of-talladega-assisted-living,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/talladega/the-seasons-of-talladega-2/53848/
Gordon Oaks Senior Living Community,"3145 Knollwood Drive, Mobile, AL 36693",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mobile/gordon-oaks-senior-living-community,100,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/mobile/gordon-oaks-memory-care-community/145/
CLOSED - Stacey Manor,"1045 N. Novatan Rd., Mobile, AL 36535",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mobile/closed-stacey-manor,Unknown,(800) 558-0653,Not found
Bethesda Assisted Living Home,"2721 West 69th Avenue, Anchorage, AK 99502",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/bethesda-assisted-living-home,Unknown,(800) 558-0653,Not found
Colony Manor At Village Park Assisted Living Home,"2051 East Porcupine Trail, Wasilla, AK 99654",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/wasilla/colony-manor-at-village-park-assisted-living-home-99654,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/wasilla/colony-manor/278/
Morningside of Auburn,"871 Twin Forks Avenue, Auburn, AL 36830","$2,600",Assisted Living,https://www.caring.com/senior-living/alabama/auburn/morningside-of-auburn-36830,49,(800) 558-0653,Not found
Homestead Village of Fairhope,"924 Plantation Blvd., Fairhope, AL 36532","$1,650",Assisted Living,https://www.caring.com/senior-living/alabama/fairhope/homestead-village-of-fairhope-36532,Unknown,(800) 558-0653,Not found
Somerset Assisted Living,"815 John D. Odom Road, Dothan, AL 36303",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/dothan/somerset-assisted-living-aad4da37-c5f6-4bfe-8801-ebead784c1d7,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/dothan/somerset-assisted-living-facility-east/44/
Country Cottage - Montgomery,"235 Sylvest Dr., Montgomery, AL 36130","$2,980",Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/country-cottage-montgomery,26,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/montgomery/country-cottage-montgomery-holly/147/
Taylored Cozy Care Assisted Living Home,"6441 Coach Circle, Anchorage, AK 99507",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/taylored-cozy-care-assisted-living-home,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/anchorage/taylored-cozy-care-assisted-living-home/45910/
Somerby St. Vincent's,"200 One Nineteen Blvd., Birmingham, AL 35242",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/somerby-st-vincent-s,56,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/hoover/somerby-at-st-vincent-s-one-nineteen/83/
Madison at The Range,"10801 County Line Rd, Madison, AL 35758","$3,800",Assisted Living,https://www.caring.com/senior-living/alabama/madison/madison-at-the-range,82,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/madison/madison-at-the-range/53830/
Capstone Village,"601 Peter Bryce Blvd, Tuscaloosa, AL 35401",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/capstone-village-tuscaloosa-35401,Unknown,(800) 558-0653,Not found
Marlow Manor Assisted Living,"2030 Muldoon Rd # 104, Anchorage, AK 99504",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/marlow-manor-assisted-living,54,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/anchorage/marlow-manor-assisted-living-facility/561/
Kauhale Heritage Woods,"3440 Hillcrest Rd, Mobile, AL 36695","$3,595",Assisted Living,https://www.caring.com/senior-living/alabama/mobile/kauhale-heritage-woods,89,(800) 558-0653,Not found
Oak Grove Inn,"3801 Oak Grove Dr, Montgomery, AL 36116","$3,540",Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/oak-grove-inn-montgomery,52,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/montgomery/oak-grove-inn/116/
South Highland Adult Care Center,"2035 Highland Ave., Birmingham, AL 35205",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/south-highland-adult-care-center,Unknown,(800) 558-0653,Not found
Legacy Ridge Trussville,"7868 Gadsden Highway, Trussville, AL 35173","$3,850",Assisted Living,https://www.caring.com/senior-living/alabama/trussville/legacy-ridge-trussville,55,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/trussville/legacy-ridge-trussville/52/
The Crossings at North River,"200 George Hall Lane, Tuscaloosa, AL 35406","$2,895",Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/the-crossings-at-north-river,84,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/tuscaloosa/the-crossings-at-north-river-assisted-living-facility/53770/
Wesley Place on Honeysuckle,"718 HONEYSUCKLE ROAD, Dothan, AL 36305",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/dothan/wesley-place-on-honeysuckle-dothan,166,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/dothan/wesley-place-on-honeysuckle/15175/
Keestone of Florence,"201 N. Cedar Street, Florence, AL 35630",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/florence/keestone-of-florence-35630,43,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/florence/keestone-of-florence/53825/
Thomas Center for Senior Leadership,"2190 E. Tudor Road,, Anchorage, AK 99507",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/thomas-center-for-senior-leadership,Unknown,(800) 558-0653,Not found
Country Place Senior Living of Brewton,"905 Belleville Ave, Brewton, AL 36426","$3,195",Assisted Living,https://www.caring.com/senior-living/alabama/brewton/country-place-senior-living-of-brewton-36426,28,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/brewton/country-place-senior-living-of-brewton/53811/
Merrill Gardens at Anthem,"2800 West Rose Canyon Circle, Anthem, AZ 85086",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/anthem/merrill-gardens-at-anthem-85086,109,(800) 558-0653,Not found
Jacobs House I,"101 Jacobs Ln, Hayden, AL 35079",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/hayden/jacobs-house-i-35079,16,(800) 558-0653,Not found
Col. Robert L. Howard State Veterans Home Freedom Court,"7054 Veterans Parkway, Pell City, AL 35125",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/pell-city/col-robert-l-howard-state-veterans-home-freedom-court,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/pell-city/col-robert-l-howard-state-veterans-home-freedom-court/53807/
Affinity Hospice,"216 Aquarius Dr Suite 306, Birmingham, AL 35209",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/affinity-hospice,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/al/birmingham/affinity-home-hospice-services/53809/
Gardens of Pelham,"2124 Old Montgomery Highway, Pelham, AL 35124","$3,390",Assisted Living,https://www.caring.com/senior-living/alabama/pelham/gardens-of-pelham,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/pelham/gardens-of-pelham/81/
The Brennity at Fairhope,"50 Spring Run Drive, Fairhope, AL 36532","$1,995",Assisted Living,https://www.caring.com/senior-living/alabama/fairhope/the-brennity-at-fairhope-36532,143,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/fairhope/the-brennity-at-fairhope/53803/
Wesley Gardens Retirement Community,"1555 Taylor Rd., Montgomery, AL 36117",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/wesley-gardens-retirement-community,56,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/montgomery/wesley-gardens-retirement-community/72/
Plantation Manor Retirement Community,"6450 Old Tuscaloosa Highway, Mc Calla, AL 35111",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mc-calla/plantation-manor-retirement-community,103,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/mccalla/plantation-manor-nursing-home/15015/
Terrace Lake Retirement Community,"100 Terrace Lake Dr., Guntersville, AL 35976",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/guntersville/terrace-lake-retirement-community,26,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/guntersville/terrace-lake-assisted-living/53851/
The Goldton at Athens,"22171 Traditions Way, Athens, AL 35613","$3,800",Assisted Living,https://www.caring.com/senior-living/alabama/athens/the-goldton-at-athens,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/athens/the-goldton-at-athens/53821/
Atlas Home Care Assisted Living Home,"1825 Adonis Drive, Anchorage, AK 99515",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/atlas-home-care-assisted-living-home,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/anchorage/atlas-home-care-assisted-living-home/234/
Heritage Assisted Living & Memory Care,"11682 County Line Rd., Madison, AL 35756","$3,412",Assisted Living,https://www.caring.com/senior-living/alabama/madison/heritage-assisted-living-memory-care,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/madison/heritage-assisted-living/53779/
Mount Royal Towers,"300 Royal Tower Drive, Birmingham, AL 35209",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/mount-royal-towers-35209,98,(800) 558-0653,Not found
Country Cottages Hoover - CLOSED,"4000 Greenwood Dr., Hoover, AL 35216","$2,515",Assisted Living,https://www.caring.com/senior-living/alabama/hoover/country-cottages-hoover-closed,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/huntsville/country-cottage-huntsville-ivy/53766/
North River Village,"5810 Rice Mine Rd NE, Tuscaloosa, AL 35406","$3,000",Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/north-river-village,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/tuscaloosa/north-river-village/53838/
Dauphin Way Senior Living,"3085 Dauphin Square Conn, Mobile, AL 36607",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mobile/dauphin-way-senior-living,40,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/mobile/dauphin-way-assisted-living/53818/
Live Oak Village Independent & Assisted Living,"2300 North Cedar Street, Foley, AL 36535","$2,000",Assisted Living,https://www.caring.com/senior-living/alabama/foley/live-oak-village-independent-assisted-living,81,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/foley/liveoak-village/6/
Country Place Senior Living of Foley,"615 E. Laurel Avenue, Foley, AL 36535","$3,495",Assisted Living,https://www.caring.com/senior-living/alabama/foley/country-place-senior-living-of-foley-36535,28,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/foley/country-place-senior-living-of-foley/53813/
Magnolia Trace,"1 Clubhouse Avenue Southwest, Huntsville, AL 35802",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/huntsville/magnolia-trace-35802,Unknown,(800) 558-0653,Not found
Alpine Assisted Living Homes,"3811 Gardner Street , Anchorage, AK 99508",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/anchorage/alpine-assisted-living-homes,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/anchorage/alpine-assisted-living-home/200/
Oak Circle Assisted Living,"605 - 15th St. N., Pell City, AL 35125",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/pell-city/oak-circle-assisted-living,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/pell-city/oak-circle-assisted-living/84/
Galleria Woods,"3850 Galleria Woods Drive, Birmingham, AL 35244","$2,460",Assisted Living,https://www.caring.com/senior-living/alabama/birmingham/galleria-woods-35244,30,(800) 558-0653,https://www.seniorcare.com/nursing-homes/al/birmingham/galleria-woods-skilled-nursing-facility/15459/
The Neighborhood at Sheffield,"413 Cox Boulevard, Sheffield, AL 35660","$2,750",Assisted Living,https://www.caring.com/senior-living/alabama/sheffield/the-neighborhood-at-sheffield,56,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/sheffield/the-neighborhood-at-sheffield/22/
Sunrise Manor,"3201 Sparrow Court, Palmer, AK 99645",Not available,Assisted Living,https://www.caring.com/senior-living/alaska/palmer/sunrise-manor,7,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/palmer/sunrise-manor-assisted-living-home/790/
Summer Village,"1601 Professional Parkway, Auburn, AL 36830",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/auburn/summer-village,56,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/auburn/summer-village-azalea-place/56/
Greensprings Assisted Living,"811 Green Springs Drive, Prattville, AL 36067","$3,500",Assisted Living,https://www.caring.com/senior-living/alabama/prattville/greensprings-assisted-living,16,(334) 373-1970,https://www.seniorcare.com/assisted-living/al/prattville/greensprings-i/120/
Keen Eye Assisted Living Inc,"1125 West Jones Drive, Wasilla, AK 99654","$6,500",Assisted Living,https://www.caring.com/senior-living/alaska/wasilla/keen-eye-assisted-living-inc,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/ak/wasilla/keen-eye-care-assisted-living-wasilla/54321/
Helping Hands Assisted living,"2781 North Wallace Drive, Montgomery, AL 36116","$1,800",Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/helping-hands-assisted-living-36116,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/al/montgomery/helping-hand-home-health-care-agency/72885/
Knollwood Pointe Assisted Living,"5601 Girby Rd, Mobile, AL 36693","$2,600",Assisted Living,https://www.caring.com/senior-living/alabama/mobile/knollwood-pointe-assisted-living,54,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/mobile/knollwood-pointe/53782/
Arizuma Horizons Assisted Living,"23221 North 121st Dr., Sun City, AZ 85373","$3,200",Assisted Living,https://www.caring.com/senior-living/arizona/sun-city/arizuma-horizons-assisted-living-sun-city,Unknown,(602) 786-5754,Not found
Thrive at Jones Farm,"2238 Cecil Ashburn Dr. SE, Huntsville, AL 35802","$4,585",Assisted Living,https://www.caring.com/senior-living/alabama/huntsville/thrive-at-jones-farm,75,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/huntsville/thrive-at-jones-farm/53792/
Angel's Castle Care Home,"5623 NORTH 83RD AVENUE, Glendale, AZ 85303","$3,500",Assisted Living,https://www.caring.com/senior-living/arizona/glendale/angel-s-castle-care-home,5,(800) 558-0653,Not found
Summer Village At Magnolia Place,"1553 Professional Pkwy, Auburn, AL 36830",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/auburn/summer-village-at-magnolia-place,42,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/auburn/summer-village-azalea-place/56/
Anthem Senior Living,"40401 N. Copper Basin Trail, Anthem, AZ 85086",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/anthem/anthem-senior-living-85086,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/az/anthem/anthem-senior-living/1930/
CaraVita Village,"4000 Fieldcrest Drive, Montgomery, AL 36111",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/montgomery/caravita-village-36111,Unknown,(800) 558-0653,Not found
Sweetwater Groves by Majestic Residences,"7515 E Sweetwater Ave., Scottsdale, AZ 85260","$6,250",Assisted Living,https://www.caring.com/senior-living/arizona/scottsdale/sweetwater-groves-by-majestic-residences,10,(800) 558-0653,Not found
Park Place,"500 N Montgomery Ave, Sheffield, AL 35660",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/sheffield/park-place-35660,185,(800) 558-0653,Not found
Premium Comfort Care,"10751 W Rowel Rd, Peoria, AZ 85383","$3,000",Assisted Living,https://www.caring.com/senior-living/arizona/peoria/premium-comfort-care,Unknown,(800) 558-0653,Not found
CLOSED - Brookside On Cody Specialty Care,"680 Cody Road, Mobile, AL 36695",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mobile/closed-brookside-on-cody-specialty-care,24,(800) 558-0653,Not found
Merrill Gardens at Madison,"121 Brookridge Drive, Madison, AL 35758",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/madison/merrill-gardens-at-madison-35758,160,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/madison/merrill-gardens-at-madison/53786/
Legacy Village of Jacksonville,"1116 James Hopkins Rd, Jacksonville, AL 36265",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/jacksonville/legacy-village-of-jacksonville-36265,50,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/jacksonville/legacy-village-of-jacksonville/53784/
Somerby of Mobile,"901 Somerby Drive, Mobile, AL 36695",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/mobile/somerby-of-mobile-36695,50,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/mobile/the-inn-assisted-living-at-somerby-of-west-mobile/53780/
The Summit of Atmore,"140 McRae St, Atmore, AL 36502","$3,100",Assisted Living,https://www.caring.com/senior-living/alabama/atmore/the-summit-of-atmore,28,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/atmore/the-summit-of-atmore/53850/
Whitehall Assisted Living Community,"2094 John D Odom Rd, Dothan, AL 36303",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/dothan/whitehall-assisted-living-community,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/dothan/whitehall-assisted-living-community/53798/
Regency Retirement Village - Tuscaloosa,"5001 Old Montgomery Highway, Tuscaloosa, AL 35405",Not available,Assisted Living,https://www.caring.com/senior-living/alabama/tuscaloosa/regency-retirement-village-35405,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/al/tuscaloosa/regency-retirement-village-of-tuscaloosa/53844/
Compassionate Senior Care LLC,"4029 W Hayward Ave, Phoenix, AZ 85051","$3,400",Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/compassionate-senior-care-llc,Unknown,(888) 606-2989,Not found
