Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source,SeniorCareAuthority URL
Affinity Hospice of Life,"1661 East Camelback Road, Suite 350, Phoenix, AZ 85016",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/affinity-hospice-of-life-85016,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/az/phoenix/affinity-hospice-of-life/53810/,Not found
Genesee Board & Care,"815 N Genesee Ave, Los Angeles, CA 90046",Not available,Assisted Living,https://www.caring.com/senior-living/california/los-angeles/genesee-board-and-care-90046,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/los-angeles/genesee-board-care/51640/,https://www.seniorcareauthority.com/assisted-living/genesee-board-care-in-los-angeles-california.html
Elevated Estates of New Port Richey,"7423 Kauai Loop, New Port Richey, FL 34653","$3,925",Assisted Living,https://www.caring.com/senior-living/florida/new-port-richey/elevated-estates-of-new-port-richey,Unknown,(800) 558-0653,Not found,Not found
Cherish House In Cambria,"1155 Warren Rd, Cambria, CA 93428",Not available,Assisted Living,https://www.caring.com/senior-living/california/cambria/cherish-house-in-cambria-cambria-ca,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/cambria/cherish-house-in-cambria/51290/,https://www.seniorcareauthority.com/assisted-living/cherish-house-retreat-inc-in-cambria-california.html
Angel's Assisted Living,"5360 W Piute Ave, Glendale, AZ 85308",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/glendale/angel-s-assisted-living,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/angel-care-senior-home-in-glendale-arizona.html
Janet'S Residential Facility For The Elderly,"2970 25Th Avenue, San Francisco, CA 94132",Not available,Assisted Living,https://www.caring.com/senior-living/california/san-francisco/janets-residential-facility-for-the-elderly-94132,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/san-francisco/janet-s-residential-facility-for-the-elderly/6891/,https://www.seniorcareauthority.com/assisted-living/janets-residential-facility-for-the-elderly-in-san-francisco-california.html
El Dorado Hills Senior Care Village,"2920 Tam O'Shanter Drive, El Dorado Hills, CA 95762",Not available,Assisted Living,https://www.caring.com/senior-living/california/el-dorado-hills/el-dorado-hills-senior-care-village,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/el-dorado-hills/oak-creek-senior-care/52199/,https://www.seniorcareauthority.com/assisted-living/village-oaks-senior-care-in-el-dorado-hills-california.html
Fortune Care Center,"22328 Broken Lance Road, Apple Valley, CA 92307",Not available,Assisted Living,https://www.caring.com/senior-living/california/apple-valley/fortune-care-center,Unknown,(800) 558-0653,Not found,Not found
Joyful Haven Assisted Living Home LLC,"18027 N 27th Drive, Phoenix, AZ 85053","$3,000",Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/joyful-haven-assisted-living-home-llc,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/amys-senior-living-llc-in-phoenix-arizona.html
The Residence at Selleck’s Woods,"1 Parklands Drive, Darien, CT 06820","$6,340",Assisted Living,https://www.caring.com/senior-living/connecticut/darien/the-residence-at-selleck-s-woods,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/darien/the-residence-at-selleck-s-woods/54848/,Not found
Sunrise of East Meadow,"1555 Glen Curtis Boulevard, East Meadow, NY 11554","$9,333",Assisted Living,https://www.caring.com/senior-living/new-york/east-meadow/sunrise-of-east-meadow-11554,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/east-meadow/sunrise-of-east-meadow/59051/,https://www.seniorcareauthority.com/assisted-living/sunrise-of-east-meadow-in-east-meadow-sunrise-of-east-meadow-in-east-meadow.html
The Goldton at Venice,"108 Bella Verde Blvd, Nokomis, FL 34275","$3,470",Assisted Living,https://www.caring.com/senior-living/florida/nokomis/the-goldton-at-venice,Unknown,(800) 558-0653,Not found,Not found
"Quality Care Homes, Llc 4","475 Eucalyptus Drive, San Francisco, CA 94132",Not available,Assisted Living,https://www.caring.com/senior-living/california/san-francisco/quality-care-homes-llc-4,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/quality-care-homes-llc-4-in-san-francisco-california.html?relListPnum=2
Pacific Sunrise Home,"6917 Beechfield Drive, Rancho Palos Verdes, CA 90275",Not available,Assisted Living,https://www.caring.com/senior-living/california/rancho-palos-verdes/pacific-sunrise-home-rancho-palos-verdes,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/rancho-palos-verdes/pacific-sunrise-home-3/52262/,https://www.seniorcareauthority.com/assisted-living/pacific-sunrise-home-3-in-rancho-palos-verdes-california.html
Shady Oak Care Home,"7209 Cross Dr, Citrus Heights, CA 95610",Not available,Assisted Living,https://www.caring.com/senior-living/california/citrus-heights/shady-oak-care-home,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/citrus-heights/shady-oaks-care-home/9414/,https://www.seniorcareauthority.com/assisted-living/shady-oaks-care-home-in-citrus-heights-california.html
Gables Residential Care LLC,"903 Spirit Lake Drive, Bakersfield, CA 93312",Not available,Assisted Living,https://www.caring.com/senior-living/california/bakersfield/gables-residential-care-llc,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/bakersfield/gables/5813/,https://www.seniorcareauthority.com/assisted-living/gables-the-in-bakersfield-california.html
El Pueblo Assisted Living,"14030 N El Pueblo Blvd, Fountain Hills, AZ 85268",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/fountain-hills/el-pueblo-assisted-living-fountain-hills,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/az/fountain-hills/el-pueblo-assisted-living/48494/,https://www.seniorcareauthority.com/assisted-living/el-pueblo-assisted-living.html
Seasons At Laguna - 3,"26291 Avenida Calidad, Mission Viejo, CA 92691",Not available,Assisted Living,https://www.caring.com/senior-living/california/mission-viejo/seasons-at-laguna-3-92691,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/mission-viejo/seasons-at-laguna-3/52499/,Error
Cielo Vista Senior Living,"7571 Wyoming St., Westminster, CA 92683","$3,500",Assisted Living,https://www.caring.com/senior-living/california/westminster/cielo-vista-senior-living,Unknown,(800) 558-0653,Not found,Not found
Danville Village Assisted Living,"344 Diablo Rd, Danville, CA 94526",Not available,Assisted Living,https://www.caring.com/senior-living/california/danville/danville-village-assisted-living154524,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/locations/danville-ca/pages/find-assisted-living-homes-in-danville-ca/
Brookdale South Windsor,"1715 Ellington Road, South Windsor, CT 06074","$4,772",Assisted Living,https://www.caring.com/senior-living/connecticut/south-windsor/brookdale-south-windsor,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/south-windsor/brookdale-south-windsor/11479/,https://www.seniorcareauthority.com/assisted-living/brookdale-south-windsor.html
CLOSED - Cherry Blossom Assisted Living - Yuba City,"1880 Live Oak Blvd, Yuba City, CA 95991",Not available,Assisted Living,https://www.caring.com/senior-living/california/yuba-city/closed-cherry-blossom-assisted-living-yuba-city,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/cherry-blossom-assisted-living-in-yuba-city-california.html
Gigi's House Assisted Living,"1333 Darby Street, Colorado Springs, CO 80918",Not available,Assisted Living,https://www.caring.com/senior-living/colorado/colorado-springs/gigi-s-house-assisted-living,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/co/colorado-springs/gigi-s-house/11132/,Not found
Living Well Alf #2,"21280 Old Cutler Road, Cutler Bay, FL 33190",Not available,Assisted Living,https://www.caring.com/senior-living/florida/cutler-bay/living-well-alf-2,Unknown,(800) 558-0653,Not found,Not found
Dry Creek Guest Home,"1856 Dry Creek Road, San Jose, CA 95124",Not available,Assisted Living,https://www.caring.com/senior-living/california/san-jose/dry-creek-guest-home-95124-2,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/san-jose-95124.html
The Madyson at Palm Beach Gardens,"13465 Pasteur Boulevard, Palm Beach Gardens, FL 33418",Not available,Assisted Living,https://www.caring.com/senior-living/florida/palm-beach-gardens/the-madyson-at-palm-beach-gardens,Unknown,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/palm-beach-gardens/gardens-court/105921/,https://www.seniorcareauthority.com/assisted-living/the-madyson-at-palm-beach-gardens-in-palm-beach-gardens-florida.html
Elizabeth E Boit Home for Women Inc,"5 Bennett St, Wakefield, MA 01880",Not available,Assisted Living,https://www.caring.com/senior-living/massachusetts/wakefield/elizabeth-e-boit-home-for-women-inc,Unknown,(800) 558-0653,Not found,Not found
Ridgemere,"4550 Prince Street, Conway, AR 72034","$3,175",Assisted Living,https://www.caring.com/senior-living/arkansas/conway/ridgemere,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ar/conway/ridgemere/54782/,Not found
Extraordinary Assisted Living of Anaheim-CLOSED,"1809 W. Cerritos Ave , Anaheim, CA 92804",Not available,Assisted Living,https://www.caring.com/senior-living/california/anaheim/extraordinary-assisted-living-of-anaheim-closed,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/anaheim/extraordinary-assisted-living-of-anaheim/5582/,https://www.seniorcareauthority.com/assisted-living/anaheim-family-care-home.html?relListPnum=6
Aj'S Senior Care Home Ii,"14160 Acapulco Road, San Leandro, CA 94577",Not available,Assisted Living,https://www.caring.com/senior-living/california/san-leandro/aj-s-senior-care-home-ii-san-leandro,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/san-leandro/aj-s-senior-care-home-ii/3160/,Not found
Gateway Assisted Living,"21002 E Lark Dr, Queen Creek, AZ 85142","$4,500",Assisted Living,https://www.caring.com/senior-living/arizona/queen-creek/gateway-assisted-living,Unknown,(866) 646-8217,Not found,https://www.seniorcareauthority.com/assisted-living/mayberry-assisted-living-home-in-queen-creek-mayberry-assisted-living-home-in-queen-creek.html
Crescent Surprise Assiste,"15244 W Watson Ln, Surprise, AZ 85379",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/surprise/crescent-surprise-assiste,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/independent-living-facilities-maricopa-arizona.html
Silver Lining Care Home,"8538 Krans Court, Antelope, CA 95843",Not available,Assisted Living,https://www.caring.com/senior-living/california/antelope/silver-lining-care-home-antelope,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/antelope/silver-lining-care-home/52550/,Not found
Hopefaith Assisted Living,"1545 E Villa Theresa Dr, Phoenix, AZ 85022",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/phoenix/hopefaith-assisted-living,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/az/phoenix/hopefaith-assisted-living/48586/,Error
"Complete Senior Living, Llc","601 N. Idaho, San Mateo, CA 94401",Not available,Assisted Living,https://www.caring.com/senior-living/california/san-mateo/complete-senior-living-llc-san-mateo,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/san-mateo/complete-senior-living/51356/,https://www.seniorcareauthority.com/assisted-living/ajaviniar-home-care-services-llc-in-san-mateo-california.html
Terraces of Los Gatos,"800 Blossom Hill Road, Los Gatos, CA 95032",Not available,Assisted Living,https://www.caring.com/senior-living/california/los-gatos/terraces-of-los-gatos-95032,Unknown,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ca/los-gatos/the-terraces-of-los-gatos/555547/,Not found
Loma Clara Senior Living,"16515 Butterfield Blvd, Morgan Hill, CA 95037","$4,645",Assisted Living,https://www.caring.com/senior-living/california/morgan-hill/loma-clara-senior-living,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/loma-clara-senior-living-in-morgan-hill-california.html
"Living Healthy Home Care 2, Llc","7612 Soquel Way, Citrus Heights, CA 95610",Not available,Assisted Living,https://www.caring.com/senior-living/california/citrus-heights/living-healthy-home-care-2-llc-citrus-heights,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/citrus-heights/living-healthy-home-care/7377/,https://www.seniorcareauthority.com/assisted-living/living-healthy-home-care-2-llc-in-citrus-heights-california.html
JMS Residential Care,"15346 Mayall Street, Mission Hills, CA 91345",Not available,Assisted Living,https://www.caring.com/senior-living/california/mission-hills/jms-residential-care,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/jms-residential-care-in-mission-hills-california.html
Joy's Open Arms,"6942 Dresden Circle, Huntington Beach, CA 92647",Not available,Assisted Living,https://www.caring.com/senior-living/california/huntington-beach/joy-s-open-arms,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/huntington-beach/joy-s-open-arms/6987/,Not found
Bruceville Point,"9730 Backer Ranch Rd, Elk Grove, CA 95757",Not available,Assisted Living,https://www.caring.com/senior-living/california/elk-grove/bruceville-point-95757,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/bruceville-point-in-elk-grove-california.html
Manalo'S Board & Care Ii,"808 Byron Drive, South San Francisco, CA 94080",Not available,Assisted Living,https://www.caring.com/senior-living/california/south-san-francisco/manalo-s-board-care-ii,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/south-san-francisco/manalo-s-board-care-ii/7591/,https://www.seniorcareauthority.com/assisted-living/manalos-board-and-care-in-south-san-francisco-california.html
Avelina Francisca Care Home,"129 Pacer Drive, Vallejo, CA 94591",Not available,Assisted Living,https://www.caring.com/senior-living/california/vallejo/avelina-francisca-care-home-94591,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/vallejo/avelina-francisca-care-home-iv/3763/,https://www.seniorcareauthority.com/assisted-living/med-residential-care-home-ii-in-vallejo-california.html
Auntie Ann'S Care Home,"8800 Oak Ave., Orangevale, CA 95662",Not available,Assisted Living,https://www.caring.com/senior-living/california/orangevale/auntie-ann-s-care-home-orangevale,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/orangevale/auntie-ann-s-care-home/3712/,Not found
Aaa Laguna Hills Assistance Care Home,"25651 Califia Dr, Laguna Hills, CA 92653",Not available,Assisted Living,https://www.caring.com/senior-living/california/laguna-hills/aaa-laguna-hills-assistance-care-home,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/aaa-assistance-care-home-2-in-mission-viejo-california.html
Cen Family Arf,"1255 Leighton Avenue, Los Angeles, CA 90037",Not available,Assisted Living,https://www.caring.com/senior-living/california/los-angeles/cen-family-arf,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/arcadian-the-in-arcadia-california.html
Arbors of Hop Brook,"403 West Center St., Manchester, CT 06040","$3,830",Assisted Living,https://www.caring.com/senior-living/connecticut/manchester/arbors-of-hop-brook-manchester,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/manchester/arbors-of-hop-brook/54861/,https://www.seniorcareauthority.com/assisted-living/manchester-06040.html
Legacy Village of Castle Pines,"535 W Castle Pines Parkway, Castle Pines, CO 80108","$3,900",Assisted Living,https://www.caring.com/senior-living/colorado/castle-pines/legacy-village-of-castle-pines,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/co/castle-rock/legacy-village-of-castle-pines/54492/,https://www.seniorcareauthority.com/assisted-living/legacy-village-at-castle-pines-in-castle-pines-colorado.html
The Landmark Assisted Living,"3260 North McMullen Booth Rd., Clearwater, FL 33761","$3,779",Assisted Living,https://www.caring.com/senior-living/florida/clearwater/the-landmark-assisted-living,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/the-landmark-in-clearwater-florida.html
Yuba Sutter Care Home,"920 Bogue Road, Yuba City, CA 95991",Not available,Assisted Living,https://www.caring.com/senior-living/california/yuba-city/yuba-sutter-care-home,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/sunrise-village-care-home-in-yuba-city-california.html
Vista Rosa,"467 HILL STREET, San Luis Obispo, CA 93401","$7,500",Assisted Living,https://www.caring.com/senior-living/california/san-luis-obispo/vista-rosa,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/valley-vista-iii.html?relListPnum=4
B And B Senior Villa,"23019 Vista Delgado Dr, Valencia, CA 91354",Not available,Assisted Living,https://www.caring.com/senior-living/california/valencia/b-and-b-senior-villa,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/b-and-b-senior-villa-in-valencia-california.html
The Gallery at North Port,"1322 N Main St, North Port, FL 34286","$2,950",Assisted Living,https://www.caring.com/senior-living/florida/north-port/the-gallery-at-north-port-34286,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/the-gallery-at-north-port-in-north-port-florida.html
Navarre Gardens,"2640 HWY 87 South, Navarre, FL 32566","$2,950",Assisted Living,https://www.caring.com/senior-living/florida/navarre/navarre-gardens-navarre,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/navarre-gardens-llc-in-navarre-floroda.html
Abracadabra Assisted Lvng,"5762 W Shaw Butte Dr, Glendale, AZ 85304",Not available,Assisted Living,https://www.caring.com/senior-living/arizona/glendale/abracadabra-assisted-lvng,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/az/glendale/abracadabra-assisted-living/1226/,https://www.seniorcareauthority.com/assisted-living/abracadabra-assisted-living-in-glendale-arizona.html
Clearwater Newport Beach,"101 Bayview Pl, Newport Beach, CA 92660","$6,995",Assisted Living,https://www.caring.com/senior-living/california/newport-beach/clearwater-newport-beach,Unknown,(800) 558-0653,Not found,Not found
Garden Hill Care Home,"112 Garden Hill Drive, Los Gatos, CA 95032",Not available,Assisted Living,https://www.caring.com/senior-living/california/los-gatos/garden-hill-care-home-los-gatos,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/los-gatos/garden-hill-care-home/5840/,https://www.seniorcareauthority.com/assisted-living/garden-hill-care-home-in-los-gatos-california.html
Harvard Adult Home Care Services,"325 S. Harvard Blvd., Los Angeles, CA 90020",Not available,Assisted Living,https://www.caring.com/senior-living/california/los-angeles/harvard-adult-home-care-services,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/ca/glendale/harvard-health-services/74280/,https://www.seniorcareauthority.com/assisted-living/manor-house-ii-in-los-angeles-california.html
A Garden Of Paradise,"7789 Spencer Ln, Citrus Heights, CA 95610",Not available,Assisted Living,https://www.caring.com/senior-living/california/citrus-heights/a-garden-of-paradise,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ca/citrus-heights/a-garden-of-paradise-care-home/2904/,https://www.seniorcareauthority.com/assisted-living/a-garden-of-paradise-care-home-in-citrus-heights-california.html
Orchards At Southington,"34 Hobart Street, Southington, CT 06489",Not available,Assisted Living,https://www.caring.com/senior-living/connecticut/southington/orchards-at-southington,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ct/southington/orchards-at-southington/11502/,https://www.seniorcareauthority.com/assisted-living/memory-care-facility-southington-hartford-connecticut.html
High Point Center for Care at Broadview,"100 Broadview Avenue, Rye Brook, NY, 10577, Rye Brook, NY 10577","$8,000",Assisted Living,https://www.caring.com/senior-living/new-york/rye-brook/high-point-center-for-care-at-broadview,Unknown,(800) 558-0653,Not found,Not found
The Right Care Assisted Living,"12309 W. Dove Wing Way, Peoria, AZ 85383","$3,500",Assisted Living,https://www.caring.com/senior-living/arizona/peoria/the-right-care-assisted-living,Unknown,(800) 558-0653,Not found,https://www.seniorcareauthority.com/assisted-living/right-choice-adult-care-home-in-glendale-arizona.html
