Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Villas Of Holly Brook Sarasota,"7610 Prospect Road , Sarasota, FL 34243",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sarasota/villas-of-holly-brook-sarasota,50,(800) 558-0653,https://www.seniorcare.com/assisted-living/il/monticello/villas-of-holly-brook-monticello/49932/
Loving Care Living Facility,"76 BRUEN STREET, Saint Augustine, FL 32095",Not available,Assisted Living,https://www.caring.com/senior-living/florida/saint-augustine/loving-care-living-facility-32095,115,(800) 558-0653,Not found
Sebring Retirement Park,"510 Grapefruit Ave, Sebring, FL 33870",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebring/sebring-retirement-park,Unknown,(800) 558-0653,Not found
Lake Park Of Madison,"259 SW Captain Brown Rd, Madison, FL 32340",Not available,Assisted Living,https://www.caring.com/senior-living/florida/madison/lake-park-of-madison-32340,15,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/madison/lake-park-of-madison-nursing-and-rehabilitation-ce/105892/
Water's Edge Of Bradenton,"3229 19th St W, Bradenton, FL 34205",Not available,Assisted Living,https://www.caring.com/senior-living/florida/bradenton/water-s-edge-of-bradenton-bradenton,65,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/bradenton/water-s-edge-of-bradenton/50714/
Benrac Home Assisted Living Facility,"910 Briarcliff Dr, Valrico, FL 33594",Not available,Assisted Living,https://www.caring.com/senior-living/florida/valrico/benrac-home-assisted-living-facility,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/valrico/benrac-home-alf/11899/
Advent Christian Village Inc,"10680 Dowling Park Dr., Live Oak, FL 32060",$757,Assisted Living,https://www.caring.com/senior-living/florida/live-oak/advent-christian-village-inc-32060,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/fl/live-oak/advent-christian-village-home-care-agency/1538/
Hidden Oaks,"7216 Nw 22Nd Dr, Jennings, FL 32053",Not available,Assisted Living,https://www.caring.com/senior-living/florida/jennings/hidden-oaks-32053,12,(800) 558-0653,Not found
LT Loving Care Inc,"1712 24th St E, Palmetto, FL 34221","$3,000",Assisted Living,https://www.caring.com/senior-living/florida/palmetto/lt-loving-care-inc,6,(800) 558-0653,Not found
Angels Touch - Apache,"504 Apache Trl, Brandon, FL 33511",Not available,Assisted Living,https://www.caring.com/senior-living/florida/brandon/angels-touch-apache,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/valrico/angels-tch/50089/
IHS of Bradenton,"2302 59th St W, Bradenton, FL 34209",Not available,Assisted Living,https://www.caring.com/senior-living/florida/bradenton/ihs-of-bradenton,Unknown,(800) 558-0653,Not found
Mother and Son Assisted Living  - CLOSED,"151 S Missouri St, Labelle, FL 33935",Not available,Assisted Living,https://www.caring.com/senior-living/florida/labelle/mother-and-son-assisted-living-closed,30,(800) 558-0653,Not found
Lafayette Nursing and Rehabilitation,"512 W Main St, Mayo, FL 32066",Not available,Assisted Living,https://www.caring.com/senior-living/florida/mayo/lafayette-nursing-and-rehabilitation,60,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/mayo/lafayette-nursing-and-rehabilitation-center/105963/
Mcintosh Manor,"4612 Mcintosh Road, Sarasota, FL 34233",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sarasota/mcintosh-manor-34233,16,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/sarasota/mcintosh-manor/13211/
Blue Fountain Home Care,"2440 Emerson Drive Se, Palm Bay, FL 32909",Not available,Assisted Living,https://www.caring.com/senior-living/florida/palm-bay/blue-fountain-home-care,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/palm-bay/blue-fountain-home-care-llc/13397/
The Blake at Panama City Beach,"12219 Panama City Beach Parkway, Panama City Beach, FL 32407",Not available,Assisted Living,https://www.caring.com/senior-living/florida/panama-city-beach/the-blake-at-panama-city-beach,130,(800) 558-0653,Not found
Garden View Alf,"526 N. MARY ELLA AVE., Panama City, FL 32404",Not available,Assisted Living,https://www.caring.com/senior-living/florida/panama-city/garden-view-alf-panama-city,40,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/panama-city/garden-view-alf/12490/
Summer's Landing,"615 Florida Ave, Lynn Haven, FL 32444",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lynn-haven/summers-landing-32444,47,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/lynn-haven/summer-s-landing/13999/
Baptist Village Lake Park,"763 JOHNSTON WAY, Lake Park, GA 31636",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/lake-park/baptist-village-lake-park-31636,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/lake-park/baptist-village-lake-park/14585/
Suwannee Valley Nursing Center,"427 NW 15TH AVENUE, Jasper, FL 32052",Not available,Assisted Living,https://www.caring.com/senior-living/florida/jasper/suwannee-valley-nursing-center-32052,60,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/jasper/suwannee-valley-nursing-center/105825/
Charter Senior Living of Panama City Beach,"6012 Magnolia Beach Drive, Panama City, FL 32408","$3,600",Assisted Living,https://www.caring.com/senior-living/florida/panama-city/charter-senior-living-of-panama-city-beach,60,(800) 558-0653,Not found
Brookdale Panama City,"2575 Harrison Avenue, Panama City, FL 32405","$7,106",Assisted Living,https://www.caring.com/senior-living/florida/panama-city/brookdale-panama-city,50,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/panama-city/brookdale-panama-city/13976/
Creative Living CEnters Inc,"521 EAST BEACH DRIVE, Panama City, FL 32401",Not available,Assisted Living,https://www.caring.com/senior-living/florida/panama-city/creative-living-centers-inc,35,(800) 558-0653,Not found
Grand Oaks Of Okeechobee,"203 SE 2nd St, Okeechobee, FL 34974",Not available,Assisted Living,https://www.caring.com/senior-living/florida/okeechobee/grand-oaks-of-okeechobee-34974,37,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/okeechobee/grand-oaks/50016/
Lisenby Skilled Care Facility,"1400 W 11th St, Panama City, FL 32401",Not available,Assisted Living,https://www.caring.com/senior-living/florida/panama-city/lisenby-skilled-care-facility,78,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/panama-city/lisenby-on-lake-caroline/13057/
Our Home At Beacon Hill,"141 Kaelyn, Port Saint Joe, FL 32456","$2,900",Assisted Living,https://www.caring.com/senior-living/florida/port-saint-joe/our-home-at-beacon-hill,32,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/port-st-joe/our-home-at-beacon-hill/11872/
The Terrace At Ivey Acres,"3964 Florida Avenue, Jay, FL 32565",Not available,Assisted Living,https://www.caring.com/senior-living/florida/jay/the-terrace-at-ivey-acres,70,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/jay/terrace-at-ivey-acres-assisted-living-the/50564/
BeeHive Homes of Lynn Haven,"4621 Hilltop Ln, Panama City, FL 32405","$4,900",Assisted Living,https://www.caring.com/senior-living/florida/panama-city/beehive-homes-of-lynn-haven,16,(800) 558-0653,Not found
Heritage Assisted Living,"608 NE 2nd Ave, Okeechobee, FL 34972",Not available,Assisted Living,https://www.caring.com/senior-living/florida/okeechobee/heritage-assisted-living-okeechobee,Unknown,(800) 558-0653,Not found
Crescent Lake House,"2301 S. US Hwy 17, Crescent City, FL 32112","$2,650",Assisted Living,https://www.caring.com/senior-living/florida/crescent-city/crescent-lake-house,100,(800) 558-0653,Not found
Southern Living for Seniors,"765 NE Delphinium Drive, Madison, FL 32340","$2,000",Assisted Living,https://www.caring.com/senior-living/florida/madison/southern-living-for-seniors,30,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/madison/southern-living-for-seniors/13922/
Pelican Landing Assisted Living and Memory Care,"13085 US Hwy 1, Sebastian, FL 32958",Not available,Assisted Living,https://www.caring.com/senior-living/florida/sebastian/pelican-landing-assisted-living-and-memory-care-32958,50,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/sebastian/pelican-garden/13558/
Riverside Cottages at the Shores,"471 Shores Blvd, Saint Augustine, FL 32086",Not available,Assisted Living,https://www.caring.com/senior-living/florida/saint-augustine/riverside-cottages-at-the-shores,120,(800) 558-0653,Not found
Farrington House,"1970 Farrington Drive, Merritt Island, FL 32952",Not available,Assisted Living,https://www.caring.com/senior-living/florida/merritt-island/farrington-house,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/merritt-island/farrington-house/12420/
Mathison Retirement Community,"3637 West Highway 390, Panama City, FL 32405",Not available,Assisted Living,https://www.caring.com/senior-living/florida/panama-city/mathison-retirement-community,100,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/panama-city/mathison-retirement-community/13201/
Sodalis Defuniak Springs,"718 Walton Road, Defuniak Springs, FL 32433","$2,900",Assisted Living,https://www.caring.com/senior-living/florida/defuniak-springs/sodalis-defuniak-springs,44,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/defuniak-springs/stanley-house/13959/
Westminster Towers & Shores,"1700 3rd Ave W, Bradenton, FL 34205",Not available,Assisted Living,https://www.caring.com/senior-living/florida/bradenton/westminster-towers-shores-bradenton,117,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/bradenton/westminster-towers-shores-of-bradenton/14298/
Robinson Residential Care -CLOSED,"11921 CARUSO DRIVE, Panama City, FL 32404",Not available,Assisted Living,https://www.caring.com/senior-living/florida/panama-city/robinson-residential-care-closed,34,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/panama-city/robinsons-residential-care/13721/
MH Tender Care I,"9 Wainwood Place, Palm Coast, FL 32164","$2,300",Assisted Living,https://www.caring.com/senior-living/florida/palm-coast/mh-tender-care-inc-32164,6,(800) 558-0653,Not found
Superior Residences of Panama City Beach,"95 Grand Heron Drive, Panama City Beach, FL 32407","$4,375",Assisted Living,https://www.caring.com/senior-living/florida/panama-city-beach/superior-residences-panama-32407,110,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/panama-city-beach/superior-residences-of-panama-city-beach/50550/
Lake Placid Health and Rehabilitation Center,"125 TOMOKA BOULEVARD SOUTH, Lake Placid, FL 33852",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lake-placid/lake-placid-health-and-rehabilitation-center,180,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/lake-placid/lake-placid-health-and-rehabilitation-center/105455/
The Gables of Tallahassee,"100 John Knox Rd, Tallahassee, FL 32303","$4,570",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/the-gables-of-tallahassee,98,(800) 558-0653,Not found
Oakridge Assisted Living Facility,"297 SW County Road 300, Mayo, FL 32066","$3,418",Assisted Living,https://www.caring.com/senior-living/florida/mayo/oakridge-assisted-living-facility,44,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/mayo/oakridge-assisted-living-facility/13413/
Azalea Gardens,"2724 Ox Bottom, Tallahassee, FL 32312","$6,900",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/azalea-gardens,66,(800) 558-0653,Not found
Mablewood Personal Care,"207 Kemp Road, Climax, GA 39834",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/climax/mablewood-personal-care,6,(800) 558-0653,Not found
Sodalis Tallahassee Assisted Living,"2110 Fleischmann Road, Tallahassee, FL 32308","$2,500",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/sodalis-tallahassee-assisted-living,120,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/tallahassee/broadview-assisted-living/50156/
Pomona Park ALF,"422 Pleasant Street, Pomona Park, FL 32181","$3,000",Assisted Living,https://www.caring.com/senior-living/florida/pomona-park/pomona-park-alf,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/pomona-park/alf-of-pomona-park/50047/
Five Oaks Rest Home,"611 OLD WELAKA ROAD, Welaka, FL 32193",Not available,Assisted Living,https://www.caring.com/senior-living/florida/welaka/five-oaks-rest-home-32193,27,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/welaka/five-oaks-rest-home/12428/
The Grove at Canopy,"2601 Crestline Road, Tallahassee, FL 32308","$4,795",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/the-grove-at-canopy,120,(800) 558-0653,Not found
St. Augustine Plantation,"2507 Old St. Augustine Road, Tallahassee, FL 32301","$4,000",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/st-augustine-plantation-32301,115,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/tallahassee/st-augustine-plantation/13945/
Sunny Days ALF,"169 NE Prima Vista Blvd, Port Saint Lucie, FL 34983",Not available,Assisted Living,https://www.caring.com/senior-living/florida/port-saint-lucie/sunny-days-alf-34983,6,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/port-st-lucie/sunny-days-alf-ii/14023/
L&L Assisted Living Community Inc,"4211 Chaires Cross Rd, Tallahassee, FL 32317",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/l-l-assisted-living-community-inc,6,(800) 558-0653,Not found
Magnolia Place of Cairo,"1710 South Broad Street, Cairo, GA 39828",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/cairo/magnolia-place-of-cairo-39828,60,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/cairo/magnolia-place-of-cairo/16048/
Tapestry Senior Living Lakeshore,"2516 West Lakeshore Drive, Tallahassee, FL 32312","$3,550",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/tapestry-senior-living-lakeshore,149,(800) 558-0653,Not found
Canterfield of Tallahassee,"208 E. Tharpe St. , Tallahassee, FL 32303",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/canterfield-of-tallahassee,100,(800) 558-0653,Not found
Allegro,"4501 Shannon Lakes Drive West, Tallahassee, FL 32309",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/allegro-tallahassee-32309,Unknown,(800) 558-0653,Not found
The Opal on Hermitage,"1780 Hermitage Blvd, Tallahassee, FL 32308","$3,400",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/the-opal-on-hermitage,120,(800) 558-0653,Not found
Sodalis Quincy - CLOSED,"1125 Strong Road, Quincy, FL 32351","$3,275",Assisted Living,https://www.caring.com/senior-living/florida/quincy/sodalis-quincy-closed,44,(800) 558-0653,Not found
Eden Springs Nursing And Rehab Center,"4679 Crawfordville Highway, Crawfordville, FL 32326",Not available,Assisted Living,https://www.caring.com/senior-living/florida/crawfordville/eden-springs-nursing-and-rehab-center-32326,120,(800) 558-0653,https://www.seniorcare.com/nursing-homes/fl/crawfordville/eden-springs-nursing-and-rehab-center/105282/
Family Center Aclf Inc,"186 China Berry Ln, Havana, FL 32333",Not available,Assisted Living,https://www.caring.com/senior-living/florida/havana/family-center-aclf-inc,Unknown,(800) 558-0653,Not found
MH Tender Care IV,"29 Prince John Ln, Palm Coast, FL 32164","$2,300",Assisted Living,https://www.caring.com/senior-living/florida/palm-coast/m-h-tender-care-iv-32164,6,(800) 558-0653,Not found
Summer's Landing Retirement,"615 Florida Ave, Lynn Haven, FL 32444",Not available,Assisted Living,https://www.caring.com/senior-living/florida/lynn-haven/summer-s-landing-retirement,47,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/lynn-haven/summer-s-landing/13999/
Villas at Killearn Lakes,"8213 Killearn Lakes Terrace, Tallahassee, FL 32312",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/villas-at-killearn-lakes,101,(800) 558-0653,Not found
Mary's Haven,"310 SOUTH HUTCHINSON AVENUE, Adel, GA 31620",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/adel/marys-haven-31620,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/adel/mary-s-haven/16096/
"Bell Road Human Services, Inc","182 BELL ROAD, Havana, FL 32333",Not available,Assisted Living,https://www.caring.com/senior-living/florida/havana/bell-road-human-services-inc,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/havana/bell-road-human-services/11887/
Tapestry Senior Living Walden-CLOSED,"3080 Walden Road, Tallahassee, FL 32317",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/tapestry-senior-living-walden-closed,Unknown,(800) 558-0653,Not found
Westminster Oaks Tallahassee,"4449 Meandering Way, Tallahassee, FL 32308",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/westminster-oaks-tallahassee,100,(800) 558-0653,https://www.seniorcare.com/assisted-living/fl/tallahassee/westminster-oaks-retirement-community/14299/
Fellowship Home at Brookside,"470 FELLOWSHIP HOME LANE, Valdosta, GA 31602",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/valdosta/fellowship-home-at-brookside-31602-1,142,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/valdosta/fellowship-home-at-brookside/15233/
Lake Erma Assisted Living,"103 W Main St, Lakeland, GA 31635",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/lakeland/lake-erma-assisted-living-31635,15,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/lakeland/lake-erma-assisted-living/15869/
Eternally Rich Assisted Living Facility,"218 Daffodil Circle, Tallahassee, FL 32305",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/eternally-rich-assisted-living-facility,Unknown,(800) 558-0653,Not found
Woodmont Senior Living,"3207 North Monroe St, Tallahassee, FL 32303","$3,000",Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/woodmont-senior-living,99,(800) 558-0653,Not found
Southern Senior Living Community,"515 South Hutchinson Ave, Adel, GA 31620",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/adel/southern-senior-living-community,22,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/adel/southern-senior-retirement-assisted-living/16860/
Serenity Assisted Living,"206 Pine Street, Sparks, GA 31647",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/sparks/serenity-assisted-living-sparks,20,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/sparks/serenity-assisted-living/16724/
"Heritage, The","1024 South Gordon Street, Adel, GA 31620",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/adel/heritage-the-adel,Unknown,(800) 558-0653,Not found
The Orchard at Stone Creek,"4900 Tillman Crossing, Hahira, GA 31632","$1,800",Assisted Living,https://www.caring.com/senior-living/georgia/hahira/the-orchard-at-stone-creek,100,(800) 558-0653,Not found
Sparks Retirement Home,"304 SOUTH GOODMAN STREET, Sparks, GA 31647",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/sparks/sparks-retirement-home-31647,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/sparks/sparks-retirement-home/16872/
Legacy Village of Tifton,"1934 Whiddon Mill Road, Tifton, GA 31793",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/tifton/legacy-village-of-tifton,35,(800) 558-0653,Not found
Golden Retreat,"503 South Goodman Street, Sparks, GA 31647",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/sparks/golden-retreat,24,(800) 558-0653,Not found
Langdale Place,"2720 WINDEMERE DRIVE, Valdosta, GA 31602",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/valdosta/langdale-place-31602,100,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/valdosta/langdale-place/15892/
Maple Court Senior Care,"2408 Tift Avenue North, Tifton, GA 31794",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/tifton/maple-court-senior-care-31794,45,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/tifton/maple-court-senior-residence/16064/
Grace Manor,"405 North Ridge, Tifton, GA 31794",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/tifton/grace-manor-31794,13,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/tifton/grace-manor/15427/
Pines Personal Care Home,"2121-d Martin Luther King Jr. Drive, Albany, GA 31701",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/albany/pines-personal-care-home,18,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/albany/pines-personal-care-home/16476/
Viva Senior Living at Albany,"1721 Beattie Road, Albany, GA 31721","$3,250",Assisted Living,https://www.caring.com/senior-living/georgia/albany/viva-senior-living-at-albany,70,(800) 558-0653,Not found
Bradley Place,"418 NORTH PARK AVENUE, Tifton, GA 31794",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/tifton/bradley-place,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/tifton/bradley-place/14667/
Elder Care Services Inc,"2518 West Tennessee Street, Tallahassee, FL 32304",Not available,Assisted Living,https://www.caring.com/senior-living/florida/tallahassee/elder-care-services-inc,Unknown,(800) 558-0653,https://www.seniorcare.com/adult-day-care/fl/tallahassee/elder-day-stay/1346/
The Canopy at Azalea Grove,"6002 North Oak Street Extension, Valdosta, GA 31605","$3,500",Assisted Living,https://www.caring.com/senior-living/georgia/valdosta/the-canopy-at-azalea-grove,75,(800) 558-0653,Not found
Presbyterian Homes of Georgia,"301 E. Screven Street, Quitman, GA 31643",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/quitman/presbyterian-homes-of-georgia,Unknown,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ga/quitman/presbyterian-home-quitman-in/115498/
Magnolia Manor South,"3011 Veterans Parkway, Moultrie, GA 31788","$1,861",Assisted Living,https://www.caring.com/senior-living/georgia/moultrie/magnolia-manor-south-31788,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/moultrie/magnolia-manor-south/16045/
Englewood Health Care I,"907 N. Madison, Albany, GA 31701",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/albany/englewood-health-care-i-albany,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/albany/englewood-health-care-i/15176/
Presbyterian Home Inc,"1901 W Screven St, Quitman, GA 31643",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/quitman/presbyterian-home-inc,16,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ga/quitman/presbyterian-home-quitman-in/115498/
Abundant Living Personal Care Home,"511 North Monroe Street, Albany, GA 31701",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/albany/abundant-living-personal-care-home,8,(800) 558-0653,https://www.seniorcare.com/assisted-living/ga/comer/abundant-living-personal-care/14414/
CYPRESS POND,"15 KENT ROAD, Tifton, GA 31794",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/tifton/cypress-pond,50,(800) 558-0653,Not found
"Valencia Personal Care Home, The","605 S Valencia Drive, Albany, GA 31707",Not available,Assisted Living,https://www.caring.com/senior-living/georgia/albany/valencia-personal-care-home-the,12,(800) 558-0653,Not found
Century Pines Retirement Community,"2821 Gillionville Road, Albany, GA 31721","$1,433",Assisted Living,https://www.caring.com/senior-living/georgia/albany/century-pines-31721,Unknown,(800) 558-0653,Not found
