Facility name,Full Address,Starting Price,Facility Type,Facility Page URL,Number of beds estimated,Phone number,source
Los Amigos Arsch,"205 Camino Cuatro SW, Albuquerque, NM 87105",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/los-amigos-arsch,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/albuquerque/los-andes-assisted-living/56664/
Kingsway Manor Assisted Living,"357 Kings Road, Schenectady, NY 12304",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/schenectady/kingsway-manor-memory-care-center,140,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/schenectady/kingsway-manor/34915/
Casa Maria Alzheimer Care,"1024 Lead Ave SW, Albuquerque, NM 87102",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/casa-maria-alzheimer-care,Unknown,(800) 558-0653,Not found
Ingersoll Place Assisted Living,"3359 Consaul Road, Niskayuna, NY 12304","$5,905",Assisted Living,https://www.caring.com/senior-living/new-york/niskayuna/ingersoll-place-assisted-living,78,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/schenectady/ingersoll-place/34914/
Evergreen Commons,"1070 Luther Road, East Greenbush, NY 12061",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/east-greenbush/evergreen-commons-12061,Unknown,(800) 558-0653,Not found
Casa Bella Residential Care,"2919 Spitz Street, Las Cruces, NM 88005",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/casa-bella-residential-care-88005,15,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/las-cruces/casa-bella-residential-care-facility/34378/
BeeHive Homes of Clovis,"2305 N Norris St, Clovis, NM 88101","$5,000",Assisted Living,https://www.caring.com/senior-living/new-mexico/clovis/beehive-homes-of-clovis,101,(844) 202-4031,Not found
Capstone Center for Rehabilitation and Nursing,"302 Swart Hill Road, Amsterdam, NY 12010",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/amsterdam/capstone-center-for-rehabilitation-and-nursing,120,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/amsterdam/capstone-center-for-rehabilitation-and-nursing/335543/
The Village at Northrise,"2880 N. Roadrunner Parkway, Las Cruces, NM 88011","$1,600",Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/the-village-at-northrise-las-cruces,31,(800) 558-0653,https://www.seniorcare.com/nursing-homes/nm/las-cruces/the-village-at-northrise-desert-willow-i/325111/
Columbia Care Home- CLOSED,"18 Columbia Drive, East Greenbush, NY 12061",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/east-greenbush/columbia-care-home-closed,Unknown,(800) 558-0653,Not found
BeeHive Assisted Living Homes of Rio Rancho #1,"204 Silent Spring Rd Northeast, Rio Rancho, NM 87124",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/rio-rancho/beehive-assisted-living-homes-of-rio-rancho-1,Unknown,(800) 558-0653,Not found
Trulux Manor,"2804 Palo Verde Dr NE, Albuquerque, NM 87112",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/trulux-manor,Unknown,(800) 558-0653,Not found
Atrisco Lights Shelter Care Home,"1430 Atrisco Dr NW, Albuquerque, NM 87105",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/atrisco-lights-shelter-care-home,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/albuquerque/atrisco-lights-shelter-care-home/34338/
Ativo Senior Living of Albuquerque COMING SOON,"4500 Quaker Heights Place , Albuquerque, NM 87120",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/ativo-senior-living-of-albuquerque-coming-soon,Unknown,(800) 558-0653,Not found
Eddy Heritage House Nursing and Rehabilitation Center,"2920 Tibbits Avenue , Troy, NY 12180",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/troy/eddy-heritage-house-nursing-and-rehabilitation-center-12180,80,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/troy/eddy-heritage-house-nursing-and-rehabilitation-ctr/335760/
"Harmony Residential Care, Inc","4102 Malaga Ct. SE, Rio Rancho, NM 87124","$4,000",Assisted Living,https://www.caring.com/senior-living/new-mexico/rio-rancho/harmony-residential-care-inc-87124,8,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/rio-rancho/harmony-house/34424/
Hillcrest Spring Residential,"5052 Upper Market Street, Amsterdam, NY 12010",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/amsterdam/hillcrest-spring-residential-12010,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/amsterdam/hillcrest-spring-residential/34732/
Pineview Commons Home for Adults,"201 South Melcher Street, Johnstown, NY 12095",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/johnstown/pineview-commons-home-for-adults-12095,94,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/johnstown/pineview-commons-h-f-a-/34664/
Evershine Care,"4844 Calle Bella Ave, Las Cruces, NM 88001","$4,000",Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/evershine-care,Unknown,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/las-cruces/evershine-care-assisted-living/56695/
Home of the Good Shepherd at Highpointe,"26 Rock Rose Way, Malta, NY 12020",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/malta/home-of-the-good-shepherd-at-highpointe-12020,86,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/malta/home-of-the-good-shepherd-at-highpointe/34905/
BeeHive Homes of Farmington,"400 N Locke Ave, Farmington, NM 87401","$5,050",Assisted Living,https://www.caring.com/senior-living/new-mexico/farmington/beehive-homes-of-farmington-farmington,12,(855) 615-1718,Not found
Senior Citizen Resident Center - CLOSED,"2210 MABRY DRIVE, Clovis, NM 88101",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/clovis/senior-citizen-resident-center-closed,52,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/clovis/senior-citizen-resident-center/34503/
Eddy Hawthorne Ridge,"30 Community Way, East Greenbush, NY 12061","$2,673",Assisted Living,https://www.caring.com/senior-living/new-york/east-greenbush/eddy-hawthorne-ridge,Unknown,(800) 558-0653,Not found
Fairwinds - Rio Rancho,"920 Riverview Drive Southeast, Rio Rancho, NM 87124",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/rio-rancho/fairwinds-rio-rancho-87124,76,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/rio-rancho/fairwinds-rio-rancho/34412/
Holmes Quarters,"1316 Kelsey Rd SW, Albuquerque, NM 87105",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/holmes-quarters,Unknown,(800) 558-0653,Not found
BeeHive Homes of Roswell,"2903 N Washington Ave, Roswell, NM 88201",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/roswell/beehive-homes-of-roswell-88201,16,(800) 558-0653,Not found
The Adobe,"1111 E Mountain Ave, Las Cruces, NM 88001",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/the-adobe,Unknown,(800) 558-0653,Not found
Adirondack Manor HFA D.B.A. Willow Park HFA,"4 Chelsea Place, Suite 101, Clifton Park, NY 12065",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/clifton-park/adirondack-manor-hfa-d-b-a-willow-park-hfa-13502,60,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/utica/adirondack-manor-hfa-d-b-a-willow-park-hfa/34781/
Scotia Mansion Home For Adults,"39 Wallace St, Scotia, NY 12302",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/scotia/scotia-mansion-home-for-adults,49,(800) 558-0653,Not found
MorningStar Assisted Living & Memory Care of Santa Fe,"2041 S Pacheco Street, Santa Fe, NM 87505","$4,750",Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/morningstar-assisted-living-memory-care-of-santa-fe,103,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/morningstar-assisted-living-and-memory-care-of-santa-fe/56719/
Peregrine Senior Living at Guilderland,"300 Mill Rose Court, Slingerlands, NY 12159","$4,195",Assisted Living,https://www.caring.com/senior-living/new-york/slingerlands/peregrine-senior-living-at-guilderland,Unknown,(800) 558-0653,Not found
The Aristocrat Assisted Living,"2969 Claude Dove Drive, Las Cruces, NM 88011",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/the-aristocrat-assisted-living-88011,45,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/las-cruces/the-aristocrat-assisted-living/34331/
Avamere at Roswell - CLOSED,"2801 North Kentucky Avenue, Roswell, NM 88201","$2,575",Assisted Living,https://www.caring.com/senior-living/new-mexico/roswell/avamere-at-roswell-closed,Unknown,(800) 558-0653,Not found
Desert Peaks Assisted Living and Memory Care,"5525 Cotton Bloom Court, Las Cruces, NM 88007","$4,495",Assisted Living,https://www.caring.com/senior-living/new-mexico/las-cruces/desert-peaks-assisted-living-and-memory-care-88007,45,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/las-cruces/desert-peaks-assisted-living-and-memory-care/34399/
BeeHive Homes of Gallup,"600 Gurley Ave, Gallup, NM 87301","$5,300",Assisted Living,https://www.caring.com/senior-living/new-mexico/gallup/beehive-homes-of-gallup,30,(866) 264-9306,https://www.seniorcare.com/assisted-living/nm/gallup/bonney-home/34363/
BeeHive Homes of Raton,"1465 Turnesa Street ,, Raton, NM 87740",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/raton/beehive-homes-of-raton,14,(800) 558-0653,Not found
Judson Meadows,"39 Swaggertown Road, Glenville, NY 12302",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/glenville/judson-meadows,80,(800) 558-0653,Not found
BeeHive Homes of Hobbs,"1928 W College Lane, Hobbs, NM 88242","$5,830",Assisted Living,https://www.caring.com/senior-living/new-mexico/hobbs/beehive-homes-of-hobbs-hobbs,21,(575) 222-8626,Not found
Sandia View Bosque Llc,"4631 Mi Cordelia Dr NW, Albuquerque, NM 87120",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/sandia-view-bosque-llc,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/albuquerque/sandia-bosque-trails/56671/
"Life Spire Assisted Living - Rio Rancho, NM","1001 24th Street, Rio Rancho, NM 87124",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/rio-rancho/life-spire-assisted-living-rio-rancho-nm-87124,30,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/rio-rancho/life-spire-assisted-living-of-rio-rancho/56709/
Cuesta Manor Shelter Care,"6333 Cuesta Place NW, Albuquerque, NM 87120",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/albuquerque/cuesta-manor-shelter-care,10,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/albuquerque/cuesta-manor/34402/
BeeHive Homes of White Rock,"110 Longview Dr, Los Alamos, NM 87544","$5,830",Assisted Living,https://www.caring.com/senior-living/new-mexico/los-alamos/beehive-homes-of-white-rock,Unknown,(866) 953-8758,Not found
Willing Helpers' Home for Women,"226 W Madison Ave, Johnstown, NY 12095",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/johnstown/willing-helpers-home-for-women-johnstown-new-york,20,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/johnstown/willing-helpers-home-for-women/34665/
Haven Care Dogwood,"4104 St. Andrews Drive SE, Rio Rancho, NM 87124","$4,700",Assisted Living,https://www.caring.com/senior-living/new-mexico/rio-rancho/haven-care-dogwood-rio-rancho,5,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/rio-rancho/haven-care-dogwood-house/34429/
Beehive Homes Santa Fe,"3838 Thomas Rd., Santa Fe, NM 87507","$5,830",Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/beehive-homes-santa-fe,15,(844) 725-0962,Not found
Sunset Vista Adult Care Home,"3650 N Fowler Ave, Silver City, NM 88061","$5,022",Assisted Living,https://www.caring.com/senior-living/new-mexico/silver-city/sunset-vista-adult-care-home,15,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/silver-city/sunset-vista/34520/
Brookdale Fillmore Pond,"300 Village Lane, Bennington, VT 05201","$5,410",Assisted Living,https://www.caring.com/senior-living/vermont/bennington/brookdale-fillmore-pond,109,(800) 558-0653,https://www.seniorcare.com/assisted-living/vt/bennington/brookdale-fillmore-pond/56475/
Getman Memorial Home,"15 E State St, Gloversville, NY 12078",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/gloversville/getman-memorial-home,176,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/gloversville/david-helen-getman-memorial-home/34663/
Pleasant Valley Adult Home,"4573 State Route 40, Argyle, NY 12809",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/argyle/pleasant-valley-adult-home,Unknown,(800) 558-0653,Not found
Willow Ridge Pointe,"1 Prospect St, Mechanicville, NY 12118",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/mechanicville/willow-ridge-pointe-mechanicville,13,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/mechanicville/willow-ridge-pointe/34904/
Home Sweet Home at Athens,"71 Second Street, Athens, NY 12015","$2,982",Assisted Living,https://www.caring.com/senior-living/new-york/athens/home-sweet-home-at-athens,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/athens/home-sweet-home-of-athens/34668/
Ten Eyck Apartments,"375 Broadway, Schenectady, NY 12305",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/schenectady/ten-eyck-apartments,Unknown,(800) 558-0653,Not found
Argyle Center Assisted Living Program,"4573 State Route 40, Argyle, NY 12809","$1,500",Assisted Living,https://www.caring.com/senior-living/new-york/argyle/argyle-center-assisted-living-program,35,(833) 671-1543,https://www.seniorcare.com/assisted-living/ny/argyle/argyle-center-for-independent-living/34996/
Teresian House Center for the Elderly,"200 Washington Avenue Ext, Albany, NY 12203",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/albany/teresian-house-center-for-the-elderly,302,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/albany/teresian-house-nursing-home-co-inc/335627/
The Grand Rehabilitation and Nursing at Guilderland,"428 NYS Highway 146, Altamont, NY 12009",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/altamont/the-grand-rehabilitation-and-nursing-at-guilderland,127,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/altamont/the-grand-rehabilitation-and-nrsg-at-guilderland/335540/
Vista Hermosa,"2929 CALLE VERA CRUZ, Santa Fe, NM 87507",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/vista-hermosa-87507,14,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/vista-hermosa/34441/
Arkell Center,"55 Montgomery St, Canajoharie, NY 13317",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/canajoharie/arkell-center,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/canajoharie/arkell-hall/34731/
The Sentinel of Amsterdam,"10 Market St, Amsterdam, NY 12010","$3,750",Assisted Living,https://www.caring.com/senior-living/new-york/amsterdam/the-sentinel-of-amsterdam,150,(800) 558-0653,https://www.seniorcare.com/home-care/ny/amsterdam/the-sentinel-of-amsterdam/79319/
Family & Child Services-Schenectady,"246 Union Street, Schenectady, NY 12305",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/schenectady/family-child-services-schenectady,Unknown,(800) 558-0653,https://www.seniorcare.com/home-care/ny/schenectady/family-and-child-service/58988/
Kingston Residence of Santa Fe,"2400 Legacy Court, Santa Fe, NM 87505",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/kingston-residence-of-santa-fe-87505,105,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/kingston-residence-of-santa-fe/34440/
The Capital Living Centre,"26 Broadway, Schenectady, NY 12305",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/schenectady/the-capital-living-centre,Unknown,(800) 558-0653,Not found
Saratoga Residence,"400 Church St, Saratoga Springs, NY 12866",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/saratoga-springs/saratoga-residence,Unknown,(800) 558-0653,Not found
Sierra Vista,"402 East Rodeo Rd, Santa Fe, NM 87505",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/sierra-vista-santa-fe-87505,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/sierra-vista-retirement-community/34512/
Bishop Hubbard Senior Housing,"54 Katherine Dr, Clifton Park, NY 12065",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/halfmoon/bishop-hubbard-senior-housing,Unknown,(800) 558-0653,Not found
Vanschoonhoven Square,"1 Van Schoonhoven Sq, Waterford, NY 12188",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/waterford/vanschoonhoven-square,Unknown,(800) 558-0653,Not found
Diamond Rock Terrace,"11 Gurley Ave, Troy, NY 12182",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/troy/diamond-rock-terrace,120,(800) 558-0653,Not found
El Castillo,"250 E ALAMEDA, Santa Fe, NM 87501",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/el-castillo,17,(800) 558-0653,Not found
Wells Nursing Home,"201 W MADISON AVENUE, Johnstown, NY 12095",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/johnstown/wells-nursing-home,100,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/johnstown/wells-nursing-home-inc/335314/
Arkell Hall Foundation Inc,"68 Front Street, Canajoharie, NY 13317",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/canajoharie/arkell-hall-foundation-inc,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/canajoharie/arkell-hall/34731/
Rosewood Rehabilitation and Nursing Center,"284 Troy Road, Rensselaer, NY 12144",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/rensselaer/rosewood-rehabilitation-and-nursing-center,80,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/rensselaer/rosewood-rehabilitation-and-nursing-center/335693/
Brookdale Santa Fe,"640 Alta Vista, Santa Fe, NM 87505","$2,575",Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/brookdale-santa-fe,63,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/brookdale-santa-fe/34484/
The Terrace At The Glen,"71 Longview Drive, Queensbury, NY 12804","$3,708",Assisted Living,https://www.caring.com/senior-living/new-york/queensbury/the-terrace-at-the-glen,52,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/queensbury/the-terrace-at-the-glen-at-hiland-meadows/34993/
Doubleday Woods,"91 Church Ave, Ballston Spa, NY 12020",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/ballston-spa/doubleday-woods,Unknown,(800) 558-0653,Not found
Danforth Adult Care Center,"19 Danforth Street, Hoosick Falls, NY 12090","$3,000",Assisted Living,https://www.caring.com/senior-living/new-york/hoosick-falls/danforth-adult-care-center-12090,80,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/hoosick-falls/danforth-adult-care-center/34866/
Kindred Hospice,"400 North Pennsylvania Avenue, Roswell, NM 88201",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/roswell/kindred-hospice-roswell,120,(800) 558-0653,https://www.seniorcare.com/home-care/nm/hobbs/kindred-hospice/59086/
Little Sisters of the Poor,"1900 Mark Avenue, Gallup, NM 87301",Not available,Assisted Living,https://www.caring.com/senior-living/new-mexico/gallup/little-sisters-of-the-poor-87301,39,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/gallup/villa-guadalupe-little-sisters-of-the-poor/34530/
Brookdale Fillmore Pond - Dark Prod Test Copy,"300 Village Lane, Bennington, VT 05201",Not available,Assisted Living,https://www.caring.com/senior-living/vermont/bennington/brookdale-fillmore-pond-test,109,(800) 558-0653,https://www.seniorcare.com/assisted-living/vt/bennington/brookdale-fillmore-pond/56475/
Sarah Jane Sanford Home,"69 Guy Park Avenue, Amsterdam, NY 12010",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/amsterdam/sarah-jane-sanford-home-amsterdam,40,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/amsterdam/sarah-jane-sanford-home/34734/
"Holbrook's Adult Home, Inc","73 North Street, Granville, NY 12832",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/granville/holbrook-s-adult-home-inc-granville,33,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/granville/holbrook-adult-home/34995/
Bishop Broderick Apartments,"50 Prescott St, Albany, NY 12205",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/albany/bishop-broderick-apartments,Unknown,(800) 558-0653,Not found
Home Of The Good Shepherd Wilton,"60 Waller Road, Gansevoort, NY 12831",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/gansevoort/home-of-the-good-shepherd-wilton-12831,54,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/wilton/home-of-the-good-shepherd-wilton/34907/
Woodlawn Commons,"156 Lawrence Street, Saratoga Springs, NY 12866",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/saratoga-springs/woodlawn-commons-12866,42,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/saratoga-springs/woodlawn-commons/34910/
Sierra Blanca Apartments,"2961 Galisteo Rd, Santa Fe, NM 87505","$1,695",Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/pacifica-senior-living-sante-fe-87505,24,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/sierra-vista-retirement-community/34512/
The Montecito Santa Fe,"500 Rodeo Road, Santa Fe, NM 87505","$4,050",Assisted Living,https://www.caring.com/senior-living/new-mexico/santa-fe/the-montecito-santa-fe,52,(800) 558-0653,https://www.seniorcare.com/assisted-living/nm/santa-fe/the-montecito-santa-fe/34486/
Marie Rose Manor Apartments,"100Marquisdr100, Slingerlands, NY 12159",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/slingerlands/marie-rose-manor-apartments,120,(800) 558-0653,Not found
Ghent Assisted Living,"30 Whittier Way, Ghent, NY 12075",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/ghent/ghent-assisted-living-12075,31,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/ghent/ghent-assisted-living/59058/
Ncr Greenport Manor,"200Townhalldr1, Hudson, NY 12534",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/hudson/ncr-greenport-manor,200,(800) 558-0653,Not found
The Landing at Queensbury,"27 Woodvale Rd., Queensbury, NY 12804","$3,740",Assisted Living,https://www.caring.com/senior-living/new-york/queensbury/the-landing-at-queensbury,88,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/queensbury/the-landing-at-queensbury/34992/
Whittier Rehabilitation & Skilled Nursing Center,"1 Whitter Way, Ghent, NY 12075",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/ghent/whittier-rehabilitation-skilled-nursing-center,120,(800) 558-0653,https://www.seniorcare.com/nursing-homes/ny/ghent/ghent-rehabilitation-nursing-center/335766/
Adirondack Manor Home for Adults,"653 Bay Rd, Queensbury, NY 12804",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/queensbury/adirondack-manor-home-for-adults-pulaski,60,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/queensbury/adirondack-manor-hfa-d-b-a-adirondack-manor-hfa-alp/34990/
Sanderson Court Senior Apartments,"6 Carondelet Dr, Watervliet, NY 12198",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/watervliet/sanderson-court-senior-apartments,Unknown,(800) 558-0653,Not found
Pine Valley Home,"1224 Pine Valley Rd, Hoosick Falls, NY 12090",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/hoosick-falls/pine-valley-home,Unknown,(800) 558-0653,Not found
The Mansion at South Union,"11 South Union Street, Cambridge, NY 12816",Not available,Assisted Living,https://www.caring.com/senior-living/new-york/cambridge/the-mansion-at-south-union,44,(800) 558-0653,https://www.seniorcare.com/assisted-living/ny/cambridge/the-mansion-at-south-union/34994/
